source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
anthropic,6,False,543,2.4,11,49,70,33,1,3,4,109,0,6.0,0,0,0,0,0,0,14.7,0.37,1,0.25,19,28,0.0,17.2,55.2,0.0,0.0,0.0,False,False
anthropic,8,False,951,4.1,22,39.5,71,37,6,3,9,95,0,6,2,0,5,1,3,0,10.5,0.53,1,0.5,19.0,30,8.3,12.5,52.6,0.0,0.0,0.0,True,True
anthropic,8,False,1197,5.2,21,54,81,82,3,3,6,171,0,5.0,0,0,3,2,5,0,10.0,0.33,1,0.29,21.0,37,17.3,7.7,21.7,0.0,0.0,10.9,False,True
anthropic,9,False,333,1.4,6,58.0,89,82,1,3,4,67,0,6.0,0,0,1,0,0,0,24.0,1.5,0,2.73,20,35,20.0,6.7,33.0,3.0,0.0,9.0,False,True
anthropic,4,False,853,3.7,20,45.0,81,54,7,3,10,78,0,3.5,0,0,7,4,10,0,23.4,0.0,0,0.0,24,32,21.6,8.1,59.8,2.3,0.0,1.2,False,True
anthropic,8,False,1328,5.8,36,32.0,65,63,4,7,11,111,0,4,12,0,2,1,2,0,5.3,0.6,1,0.59,18.0,38,19.4,14.5,2.3,9.0,0.8,5.3,True,True
anthropic,8,False,2751,12.0,67,43,69,27,5,9,14,183,14,4.0,1,0,17,5,17,0,6.2,0.33,0,0.35,20,35,14.7,13.2,21.1,29.4,0.4,4.7,True,True
anthropic,11,False,2471,10.7,47,53,87,25,5,14,19,124,0,3,0,8,3,8,46,0,7.7,0.65,2,0.6,22,36,20.2,11.0,31.6,0.0,0.4,3.6,False,True
anthropic,9,False,566,2.5,13,45,66,23,1,3,4,113,0,6.0,0,0,1,1,4,0,28.3,0.88,1,0.96,22,34,20.0,8.0,15.9,0.0,0.0,7.1,False,True
anthropic,3,False,902,3.9,7,110,346,110,5,3,8,100,0,2.5,0,0,2,1,4,0,16.6,0.55,0,0.66,27,59,37.9,6.9,21.1,1.1,0.0,0.0,False,True
anthropic,10,False,855,3.7,22,33.0,65,44,3,2,5,142,0,6,0,0,4,3,6,0,12.9,0.12,1,0.0,21.0,31,10.0,7.5,22.2,16.4,0.0,0.0,False,True
anthropic,8,False,292,1.3,6,39.5,85,50,1,3,4,58,0,6.0,0,0,1,0,0,0,41.1,2.4,4,2.11,26.5,61,30.0,10.0,3.4,0.0,0.0,10.3,False,True
anthropic,13,False,685,3.0,11,62,101,62,4,3,7,86,0,6,0,0,1,0,0,0,11.7,0.29,0,0.37,24,37,18.5,3.7,13.1,0.0,1.5,7.3,False,True
anthropic,10,False,476,2.1,2,238.0,447,447,1,3,4,95,0,6.0,0,0,1,0,0,0,25.2,0.21,0,0.31,29,100,45.5,0.0,39.9,0.0,0.0,0.0,False,True
anthropic,9,False,297,1.3,8,35.0,80,36,1,3,4,59,0,6.0,0,0,0,0,0,0,20.2,0.67,1,0.68,24.5,68,40.0,10.0,30.3,0.0,0.0,0.0,False,False
anthropic,3,False,535,2.3,16,24.0,73,6,1,3,4,107,0,6.0,0,0,2,1,4,0,37.4,0.0,0,0.0,19,53,26.1,43.5,61.7,7.5,1.9,9.3,False,True
anthropic,2,False,2993,13.0,17,161,380,20,2,8,10,272,30,4.0,0,0,4,2,4,0,5.7,1.34,2,1.34,29,74,43.8,4.1,21.0,2.7,0.3,0.0,False,True
anthropic,7,False,545,2.4,14,30.5,81,22,6,0,6,78,0,2.5,0,0,8,2,10,0,31.2,3.49,7,3.04,19,30,7.4,22.2,25.7,20.2,0.0,5.5,False,True
